model_name,model_type,train_time,prediction_time,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Random Forest,RandomForestClassifier,18.15064549446106,0.28447914123535156,0.9946833356230251,0.994232412532425,0.9853563655328476,0.9897099819486727,0.9946673301309806,0.9946833356230251,0.9946534868219539
Decision Tree,DecisionTreeClassifier,3.7497525215148926,0.02764272689819336,0.9896185373448734,0.9913535018146886,0.9727769234616863,0.9818503226224792,0.9896488444699078,0.9896185373448734,0.9895551036454986
K-Nearest Neighbors,KNeighborsClassifier,2.8237078189849854,12.457931518554688,0.9716490360397491,0.9585898294553852,0.9692936691192292,0.9637929180386443,0.972092901047262,0.9716490360397491,0.9717743741295696
AdaBoost,AdaBoostClassifier,68.9292380809784,1.8134098052978516,0.898282731144388,0.9316425836959427,0.7230017504771549,0.7859720289529142,0.9034058555512996,0.898282731144388,0.8863643879548425
Logistic Regression,LogisticRegression,121.46961212158203,0.01308131217956543,0.7874295919769199,0.8634881619965509,0.5211774908793559,0.5775876579161221,0.8019779874186721,0.7874295919769199,0.7566626397008244
Neural Network,MLPClassifier,146.42720103263855,0.17392492294311523,0.7774190593946055,0.9063020773224583,0.5244197818782699,0.5662647450235416,0.810483519877602,0.7774190593946055,0.7065687248594105
Naive Bayes,GaussianNB,0.22420287132263184,0.12123346328735352,0.34175481980125477,0.5295320130689783,0.5754492821949618,0.4317821314789169,0.7556379528158282,0.34175481980125477,0.296065973129398
